customer_id,customer_name,segment,region
100001,Cedar Labs Co,SMB,South
100002,Solstice Consulting Group,SMB,Midwest
100003,Cedar Holdings Inc,Mid-Market,West
100004,Cedar Industries Group,SMB,West
100005,Kestrel Labs Co,Enterprise,West
100006,Lumen Industries,SMB,South
100007,Nightshade Consulting LLC,SMB,South
100008,Coppertop Logistics Group,SMB,Northeast
100009,Lumen Partners LLC,Enterprise,South
100010,Marlowe Systems LLC,Enterprise,Midwest
100011,Solstice Foods,SMB,South
100012,Summit Collective,SMB,Midwest
100013,Nightshade Works Inc,SMB,Midwest
100014,Driftwood Analytics Co,SMB,Midwest
100015,Juniper Retail,Mid-Market,Midwest
100016,Ridgeline Consulting Group,SMB,Northeast
100017,Highgate Labs Co,SMB,West
100018,Ironclad Retail LLC,SMB,West
100019,Amber Traders LLC,SMB,Midwest
100020,Prairie Ventures Co,SMB,Northeast
100021,Pinnacle Ventures Inc,SMB,Midwest
100022,Ridgeline Textiles Inc,SMB,Midwest
100023,Pinnacle Retail,SMB,West
100024,Amber Works,SMB,West
100025,Solstice Analytics Co,Enterprise,Midwest
100026,Amber Studios Inc,SMB,Northeast
100027,Summit Holdings Group,SMB,South
100028,Solstice Analytics Group,SMB,West
100029,Driftwood Holdings,Enterprise,Midwest
100030,Granite Labs Group,Enterprise,South
100031,Solstice Works Group,Enterprise,Midwest
100032,Coppertop Collective Inc,Mid-Market,Northeast
100033,Meadowbrook Holdings Co,Enterprise,West
100034,Prairie Works,SMB,West
100035,Marlowe Coffee Co Co,Enterprise,Midwest
100036,Lumen Labs Co,Enterprise,South
100037,Amber Holdings Inc,SMB,Midwest
100038,Lumen Systems LLC,SMB,West
100039,Redwood Systems,SMB,Northeast
100040,Prairie Foods,SMB,South
100041,Solstice Holdings Co,Enterprise,South
100042,Amber Group LLC,SMB,South
100043,Cedar Labs LLC,Mid-Market,South
100044,Fernbrook Systems LLC,Enterprise,West
100045,Cedar Systems Co,SMB,Midwest
100046,Granite Health Group,SMB,West
100047,Silver Fox Consulting Group,Mid-Market,Northeast
100048,Bluepeak Manufacturing LLC,Enterprise,West
100049,Ridgeline Group,SMB,Midwest
100050,Meadowbrook Works,SMB,West
100051,Nightshade Manufacturing Group,Mid-Market,Northeast
100052,Fenway Consulting Co,Enterprise,West
100053,Harborview Systems LLC,SMB,Northeast
100054,Lumen Dynamics Co,SMB,Northeast
100055,Wrenfield Textiles LLC,Enterprise,Midwest
100056,Marlowe Studios,SMB,South
100057,Silver Fox Coffee Co,SMB,Midwest
100058,Highgate Media Co,Mid-Market,Midwest
100059,Prairie Collective LLC,SMB,Northeast
100060,Quarrystone Analytics LLC,SMB,Midwest
100061,Highgate Media LLC,Mid-Market,South
100062,Prairie Textiles Inc,Mid-Market,Northeast
100063,Granite Holdings Co,SMB,Midwest
100064,Driftwood Retail Group,SMB,Northeast
100065,Cedar Retail,Mid-Market,Midwest
100066,Silver Fox Dynamics Inc,Mid-Market,West
100067,Pinnacle Media Co,Enterprise,Northeast
100068,Solstice Manufacturing Co,Enterprise,Midwest
100069,Ridgeline Manufacturing Co,Mid-Market,South
100070,Meadowbrook Ventures Co,Enterprise,West
100071,Solstice Ventures Inc,Enterprise,Northeast
100072,Cedar Supply LLC,SMB,West
100073,Pinnacle Analytics LLC,Enterprise,West
100074,Juniper Logistics Co,Enterprise,Midwest
100075,Granite Works LLC,SMB,South
100076,Summit Logistics LLC,SMB,Northeast
100077,Nightshade Coffee Co Co,Mid-Market,Midwest
100078,Amber Ventures Co,SMB,West
100079,Wrenfield Studios Co,Mid-Market,South
100080,Prairie Health Group,SMB,West
100081,Fernbrook Partners,SMB,Northeast
100082,Kestrel Textiles Co,SMB,Northeast
100083,Northwind Logistics LLC,Enterprise,West
100084,Ironclad Studios Co,SMB,Midwest
100085,Prairie Holdings,Mid-Market,South
100086,Ironclad Health Group Co,SMB,Northeast
100087,Ironclad Studios Group,SMB,Midwest
100088,Ridgeline Systems LLC,SMB,Midwest
100089,Silver Fox Health Group LLC,SMB,West
100090,Fenway Coffee Co,Mid-Market,Midwest
100091,Quarrystone Consulting LLC,Mid-Market,South
100092,Amber Labs,SMB,South
100093,Cedar Manufacturing LLC,SMB,Midwest
100094,Summit Media Group,Mid-Market,Midwest
100095,Fenway Solutions Inc,Mid-Market,South
100096,Summit Industries Group,SMB,Midwest
100097,Solstice Manufacturing,Enterprise,Northeast
100098,Silver Fox Works,SMB,South
100099,Oakhaven Systems,SMB,Midwest
100100,Granite Systems Inc,Mid-Market,West
100101,Harborview Partners Co,Mid-Market,Northeast
100102,Harborview Manufacturing Inc,Enterprise,Northeast
100103,Fernbrook Ventures Co,SMB,South
100104,Quarrystone Labs Inc,SMB,West
100105,Harborview Health Group Group,Mid-Market,Northeast
100106,Ridgeline Foods Inc,SMB,South
100107,Northwind Analytics LLC,SMB,West
100108,Summit Retail Inc,Mid-Market,Midwest
100109,Marlowe Media Group,SMB,Northeast
100110,Quarrystone Studios Inc,SMB,Midwest
100111,Quarrystone Partners Inc,SMB,West
100112,Driftwood Industries Group,Enterprise,South
100113,Meadowbrook Dynamics Group,SMB,Midwest
100114,Ironclad Analytics LLC,SMB,South
100115,Northwind Studios LLC,SMB,South
100116,Ridgeline Dynamics,SMB,South
100117,Oakhaven Supply Co,SMB,West
100118,Nightshade Collective Inc,Mid-Market,Northeast
100119,Oakhaven Supply LLC,SMB,Midwest
100120,Amber Studios,SMB,South
100121,Lumen Retail Co,SMB,Northeast
100122,Wrenfield Retail Group,SMB,Northeast
100123,Cedar Ventures Co,SMB,West
100124,Coppertop Manufacturing,Mid-Market,West
100125,Quarrystone Solutions Inc,Mid-Market,South
100126,Lakeside Supply,Mid-Market,South
100127,Marlowe Collective,SMB,South
100128,Kestrel Logistics Inc,Enterprise,Midwest
100129,Cobalt Ventures Group,Mid-Market,Midwest
100130,Northwind Logistics Inc,SMB,Midwest
100131,Granite Dynamics Co,SMB,West
100132,Granite Dynamics LLC,Enterprise,West
100133,Redwood Consulting,SMB,South
100134,Quarrystone Coffee Co,SMB,South
100135,Bluepeak Manufacturing,Mid-Market,South
100136,Lakeside Holdings Group,SMB,Midwest
100137,Harborview Studios LLC,Enterprise,West
